Step,Description,SAS_Studio_Basic,SAS_Studio_Analyst,SAS_Studio_Engineer,SAS_Visual_Text_Analytics,SAS_Intelligent_Decisioning,SAS_Visual_Statistics,SAS_QC,SAS_Model_Manager,SAS_Econometrics,SAS_Optimization,SAS_Visual_Machine_Learning,SAS_Visual_Forecasting
Custom Steps,Enables you to create a user interface for users at your site to complete a specific task.,1,1,1,0,0,0,0,0,0,0,0,0
Export,Exports data to an external file.,1,1,1,0,0,0,0,0,0,0,0,0
File,References an external file.,1,1,1,0,0,0,0,0,0,0,0,0
Geocode Data,Provides a way to convert address data into map locations,1,1,1,0,0,0,0,0,0,0,0,0
Import Files,Converts an external file to a SAS data set. Supports importing delimited and Microsoft Excel files. Supports importing fixed width files and the ability to load column structure metadata from an external file.,1,1,1,0,0,0,0,0,0,0,0,0
Manage Columns,Selects a subset of columns from an input table and writes the columns to an output table.,1,1,1,0,0,0,0,0,0,0,0,0
Python Program,Supports writing and running Python programs in a flow.,1,1,1,0,0,0,0,0,0,0,0,0
Query,Extracts data from one or more tables according to criteria that you specify.,1,1,1,0,0,0,0,0,0,0,0,0
Remove Duplicates,Enables you to remove duplicate rows from a source table.,1,1,1,0,0,0,0,0,0,0,0,0
SAS Program,Supports writing and running SAS programs in a flow.,1,1,1,0,0,0,0,0,0,0,0,0
Sort,Enables you to order your data by the values of one or more columns.,1,1,1,0,0,0,0,0,0,0,0,0
Table,References a source table or specifies the physical location of an output table.,1,1,1,0,0,0,0,0,0,0,0,0
Verify with Loqate,Enables you to verify address information and obtain geocode coordinates from the Loqate Verify Address API.,1,1,1,0,0,0,0,0,0,0,0,0
Analysis of Covariance,Fits a linear model that combines the continuous and categorical predictors of a continuous dependent variable. This step also produces graphical output to interpret the results.,0,1,1,0,0,1,0,0,0,0,0,0
Analysis of Means,Enables you to create control charts that simultaneously compare treatment means with their overall mean.,0,1,1,0,0,0,1,0,0,0,0,0
Automated Feature Engineering,"Explores the variables in the input data and automatically performs feature engineering in a parallel, scalable way.",0,1,1,0,0,0,0,0,0,0,1,0
Assess Model,Evaluates the performance of a predictive model by comparing the predicted and actual target values in a scored data set.,0,1,1,0,0,0,0,0,0,0,1,0
Bar Chart,Creates horizontal or vertical bar charts that compare numeric values or statistics between different values of a chart variable.,0,1,1,0,0,0,0,0,0,0,0,0
Bar-Line Chart,Creates a vertical bar chart with a line chart overlay.,0,1,1,0,0,0,0,0,0,0,0,0
Bayesian Network,"Trains a predictive model of a nominal target using different types of Bayesian network structures, including parent-child Bayesian network (default), Markov blanket, naive Bayesian network, or tree-augmented naive Bayesian network.",0,1,1,0,0,0,0,0,0,0,1,0
Biconnected Components,Finds all biconnected components of an undirected graph. A biconnected component of an undirected graph is a connected subgraph that cannot be broken into disconnected pieces by deleting any single node (and its incident links).,0,1,1,0,0,0,0,0,0,1,0,0
Binning,Divides the data values of a continuous variable into intervals. The values for each interval are replaced with a single value that is representative of the interval.,0,1,1,0,0,0,0,0,0,0,0,0
Boolean Rules,The Boolean Rules step extracts Boolean rules from text data.,0,1,1,1,0,0,0,0,0,0,0,0
Box Plot,Creates a bi-directional plot where the numeric values measured as intervals.,0,1,1,0,0,0,0,0,0,0,0,0
Branch Rows,Splits a table into two output tables based on conditions that you specify.,0,1,1,0,0,0,0,0,0,0,0,0
Bubble Map,Creates a map that is overlaid with a bubble plot.,0,1,1,0,0,0,0,0,0,0,0,0
Bubble Plot,"Explores the relationship between three or more variables. In a bubble plot, two variables determine the location of the bubble centers, and a third variable specifies the size of each bubble. A fourth variable can be used to determine the colors of the bubbles.",0,1,1,0,0,0,0,0,0,0,0,0
Calculate Columns,Creates an output table that is based on the input table. You can create or modify columns in the output table.,0,1,1,0,0,0,0,0,0,0,0,0
Canonical Correlation,"Performs canonical correlation, partial canonical correlation, and canonical redundancy analysis.",0,1,1,0,0,1,0,0,0,0,0,0
Capability Analysis,Compares the distribution of a process to its specification limits.,0,1,1,0,0,0,1,0,0,0,0,0
Causal Models,Uses the two-stage least squares method and the Heckman's two-step selection method.,0,1,1,0,0,0,0,0,1,0,0,0
